Códigos de gasto con cantidad física;Cantidades medias consumidas;Periodo;Total
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2007;16,6
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2006;15,9
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2023;6,4
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2022;6,1
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2021;5,7
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2020;5,5
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2019;5,7
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2018;5,2
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2017;5,2
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2016;5,4
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2015;5,8
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2014;5,9
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2013;6,1
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2012;6
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2011;6
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2010;6
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2009;6,5
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2008;6,3
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2007;6,1
01.1.1.1 T Arroz (K);Cantidad consumida media por persona;2006;5,8
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2023;9,4
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2022;9
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2021;8,4
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2020;8,1
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2019;8,4
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2018;7,7
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2017;7,8
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2016;8
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2015;8,6
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2014;8,8
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2013;9
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2012;9
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2011;9
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2010;9,1
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2009;9,8
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2008;9,6
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2007;9,3
01.1.1.1 T Arroz (K);Cantidad consumida media por unidad de consumo;2006;8,9
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2023;191.272
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2022;148.939
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2021;161.011
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2020;180.498
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2019;151.104
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2018;139.341
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2017;127.877
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2016;140.518
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2015;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2014;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2013;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2012;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2011;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2010;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2009;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2008;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2007;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida total (miles de unidades);2006;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2023;9,9
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2022;7,8
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2021;8,5
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2020;9,6
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2019;8,1
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2018;7,5
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2017;6,9
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2016;7,6
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2015;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2014;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2013;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2012;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2011;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2010;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2009;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2008;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2007;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por hogar;2006;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2023;4
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2022;3,2
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2021;3,4
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2020;3,8
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2019;3,2
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2018;3
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2017;2,8
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2016;3,1
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2015;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2014;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2013;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2012;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2011;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2010;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2009;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2008;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2007;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por persona;2006;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2023;5,9
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2022;4,7
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2021;5,1
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2020;5,7
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2019;4,8
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2018;4,5
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2017;4,1
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2016;4,5
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2015;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2014;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2013;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2012;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2011;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2010;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2009;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2008;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2007;..
01.1.1.2 T Harinas y otros cereales (K);Cantidad consumida media por unidad de consumo;2006;..
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2023;1.677.172
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2022;1.787.500
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2021;1.769.464
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2020;1.714.688
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2019;1.796.590
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2018;1.824.298
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2017;1.863.591
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2016;1.892.744
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2015;2.059.787
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2014;2.112.160
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2013;2.131.022
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2012;2.160.630
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2011;2.221.535
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2010;2.230.025
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2009;2.252.413
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2008;2.223.970
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2007;2.239.865
01.1.1.3 T Pan (K);Cantidad consumida total (miles de unidades);2006;2.083.329
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2023;86,9
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2022;93,9
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2021;93,8
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2020;91
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2019;95,9
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2018;97,9
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2017;100,7
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2016;102,6
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2015;112,1
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2014;115,4
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2013;117
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2012;119,4
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2011;124,1
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2010;126,4
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2009;129,6
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2008;130,3
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2007;134,6
01.1.1.3 T Pan (K);Cantidad consumida media por hogar;2006;128,8
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2023;34,9
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2022;38
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2021;37,8
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2020;36,6
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2019;38,5
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2018;39,4
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2017;40,4
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2016;41,2
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2015;44,8
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2014;45,9
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2013;46,2
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2012;46,6
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2011;48
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2010;48,3
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2009;49
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2008;48,8
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2007;49,9
01.1.1.3 T Pan (K);Cantidad consumida media por persona;2006;47,3
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2023;51,5
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2022;56,1
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2021;55,8
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2020;54,1
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2019;57,1
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2018;58,4
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2017;60
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2016;61,1
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2015;66,6
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2014;68,4
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2013;68,9
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2012;69,9
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2011;72,1
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2010;72,8
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2009;74
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2008;73,8
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2007;75,7
01.1.1.3 T Pan (K);Cantidad consumida media por unidad de consumo;2006;72
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2023;737.102
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2022;722.555
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2021;698.868
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2020;664.365
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2019;704.724
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2018;699.967
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2017;704.155
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2016;710.915
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2015;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2014;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2013;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2012;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2011;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2010;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2009;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2008;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2007;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida total (miles de unidades);2006;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2023;38,2
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2022;38
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2021;37
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2020;35,3
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2019;37,6
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2018;37,6
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2017;38
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2016;38,5
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2015;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2014;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2013;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2012;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2011;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2010;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2009;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2008;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2007;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por hogar;2006;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2023;15,4
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2022;15,4
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2021;14,9
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2020;14,2
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2019;15,1
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2018;15,1
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2017;15,3
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2016;15,5
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2015;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2014;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2013;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2012;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2011;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2010;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2009;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2008;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2007;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por persona;2006;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2023;22,7
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2022;22,7
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2021;22,1
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2020;21
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2019;22,4
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2018;22,4
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2017;22,7
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2016;23
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2015;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2014;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2013;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2012;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2011;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2010;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2009;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2008;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2007;..
01.1.1.4 T Otros productos de panadería (K);Cantidad consumida media por unidad de consumo;2006;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2023;113.978
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2022;107.152
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2021;95.052
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2020;100.274
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2019;99.564
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2018;98.814
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2017;102.010
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2016;107.380
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2015;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2014;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2013;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2012;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2011;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2010;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2009;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2008;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2007;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida total (miles de unidades);2006;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2023;5,9
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2022;5,6
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2021;5
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2020;5,3
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2019;5,3
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2018;5,3
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2017;5,5
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2016;5,8
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2015;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2014;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2013;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2012;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2011;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2010;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2009;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2008;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2007;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por hogar;2006;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2023;2,4
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2022;2,3
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2021;2
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2020;2,1
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2019;2,1
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2018;2,1
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2017;2,2
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2016;2,3
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2015;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2014;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2013;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2012;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2011;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2010;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2009;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2008;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2007;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por persona;2006;..
01.1.1.5 T Pizzas y quiches (K);Cantidad consumida media por unidad de consumo;2023;3,5
